label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] big8 lb=252 top2 @ 5d,3835,21.62,48.85,-64.33,0.65,0.34,19.7,big8,252,2,5,False
mom[gate] big8 lb=63 top4 @ 21d,3835,21.57,43.96,-61.36,0.67,0.35,19.5,big8,63,4,21,True
mom[raw ] big8 lb=21 top4 @ 5d,3835,21.42,43.1,-76.39,0.67,0.28,19.2,big8,21,4,5,False
mom[raw ] all17 lb=252 top5 @ 3d,3835,21.28,40.18,-50.58,0.68,0.42,18.8,all17,252,5,3,False
mom[gate] core6 lb=126 top1 @ 21d,3835,21.22,59.88,-72.25,0.62,0.29,18.7,core6,126,1,21,True
mom[gate] all17 lb=252 top5 @ 5d,3835,21.2,41.63,-56.56,0.67,0.37,18.7,all17,252,5,5,True
mom[raw ] big8 lb=252 top2 @ 3d,3835,21.19,48.33,-62.98,0.64,0.34,18.6,big8,252,2,3,False
mom[raw ] big8 lb=126 top2 @ 21d,3835,21.15,50.36,-73.06,0.64,0.29,18.5,big8,126,2,21,False
mom[gate] big8 lb=63 top4 @ 10d,3835,21.09,42.61,-57.52,0.66,0.37,18.4,big8,63,4,10,True
mom[raw ] core6 lb=126 top1 @ 5d,3835,21.03,60.5,-83.76,0.62,0.25,18.3,core6,126,1,5,False
mom[gate] core6 lb=252 top4 @ 5d,3835,20.99,43.09,-65.32,0.66,0.32,18.2,core6,252,4,5,True
mom[gate] core6 lb=252 top2 @ 3d,3835,20.92,48.18,-64.11,0.64,0.33,18.0,core6,252,2,3,True
mom[raw ] all17 lb=126 top5 @ 5d,3835,20.89,41.49,-56.9,0.67,0.37,17.9,all17,126,5,5,False
mom[gate] big8 lb=252 top2 @ 5d,3835,20.84,47.68,-65.33,0.64,0.32,17.8,big8,252,2,5,True
mom[gate] big8 lb=63 top3 @ 21d,3835,20.83,46.25,-66.58,0.64,0.31,17.8,big8,63,3,21,True
mom[gate] core6 lb=126 top1 @ 5d,3835,20.67,59.69,-82.95,0.62,0.25,17.4,core6,126,1,5,True
mom[gate] core6 lb=63 top3 @ 3d,3835,20.65,44.75,-72.14,0.65,0.29,17.4,core6,63,3,3,True
mom[raw ] core6 lb=252 top1 @ 21d,3835,20.64,58.61,-71.79,0.62,0.29,17.4,core6,252,1,21,False
mom[raw ] all17 lb=252 top5 @ 21d,3835,20.63,42.34,-62.85,0.66,0.33,17.4,all17,252,5,21,False
mom[gate] core6 lb=252 top4 @ 10d,3835,20.62,43.85,-69.49,0.65,0.3,17.3,core6,252,4,10,True
mom[gate] core6 lb=126 top1 @ 10d,3835,20.54,60.79,-85.35,0.61,0.24,17.2,core6,126,1,10,True
mom[gate] big8 lb=126 top2 @ 21d,3835,20.51,49.21,-62.15,0.63,0.33,17.1,big8,126,2,21,True
mom[gate] big8 lb=252 top5 @ 5d,3835,20.34,41.23,-65.46,0.66,0.31,16.7,big8,252,5,5,True
mom[gate] all17 lb=126 top5 @ 5d,3835,20.32,42.87,-62.93,0.65,0.32,16.7,all17,126,5,5,True
mom[raw ] big8 lb=126 top2 @ 3d,3835,20.3,49.42,-76.92,0.62,0.26,16.6,big8,126,2,3,False
mom[raw ] core6 lb=252 top1 @ 3d,3835,20.23,58.0,-67.7,0.61,0.3,16.5,core6,252,1,3,False
