,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2011-02-11,0.028027508232635213,0.020091497694707305,0.020091497694707305,0.0
2011-02-14,0.0057427111636601325,0.0010700914144379237,0.0010700914144379237,0.0
2011-02-15,0.0100927471663783,0.005774657262310523,0.005774657262310523,0.0
2011-02-16,0.003684749263290765,-0.0015949069583388598,-0.0015949069583388598,0.0
2011-02-17,0.016907176835734172,0.009583249432075336,0.009583249432075336,0.0
2011-02-18,-3.172725455322087e-05,0.0,0.0,0.0
2011-02-21,-0.034118152229583906,-0.030586902355506207,-0.030586902355506207,0.0
2011-02-22,-0.0503957440705878,-0.03427295314754819,-0.03427295314754819,0.0
2011-02-23,-0.011832685603435722,-0.010928186484083557,-0.010928186484083557,0.0
2011-02-24,0.021172860521806988,0.01697202522033492,0.01697202522033492,0.0
2011-02-25,0.03705130080418583,0.024977982079883443,0.024977982079883443,0.0
2011-02-28,0.005347534741282053,0.0036056475100889607,0.0036056475100889607,-0.015153823525536014
2011-03-01,-0.044742865771743495,-0.04017808975839543,-0.04017808975839543,0.011859395849190157
2011-03-02,0.020247556667768587,0.030289305568491853,0.030289305568491853,-0.020837052011688173
2011-03-03,0.028247280279620274,0.020039210915549832,0.020039210915549832,-0.0005
2011-03-04,0.002594939225886572,-0.002158815359055266,-0.002158815359055266,0.0
2011-03-07,-0.0535144469360265,-0.03775397805798608,-0.03775397805798608,0.0
2011-03-08,0.008323968440641647,0.0037096223862549405,0.0037096223862549405,0.0
2011-03-09,-0.0402870765466226,-0.028673833804674365,-0.028673833804674365,0.0
2011-03-10,-0.029850984276093968,-0.019833747563476667,-0.019833747563476667,0.0
2011-03-11,0.029398120858043785,-0.0005,0.012823116345016539,0.0027906450025171896
2011-03-14,-0.08343092170400188,0.0,-0.0005,0.024234717215905643
2011-03-15,0.030780972291716183,0.0,0.014624000232590306,-0.0017791286795494354
2011-03-16,-0.007927205181695372,0.0,-0.0019381463834172719,0.002316928072657598
2011-03-17,0.01694168522396697,0.0,0.010315506448696166,-0.009424051074225281
2011-03-18,0.009549275866165628,0.0,0.0024020803462636575,-0.0028716219794089337
2011-03-21,0.0027118266479371415,0.0,0.010186534046252138,-0.011773511107716517
2011-03-22,-0.002746253350611411,0.0,-0.0005,0.015805324203788107
2011-03-23,0.030386895160747374,0.0,0.0,-0.02068474821835231
2011-03-24,0.032024412101188095,0.0,0.0,-0.00261674892824737
2011-03-25,-0.015902155512362272,0.0,0.0,-0.017428623338485938
2011-03-28,-0.019003122228958728,0.0,0.0,-0.0005
2011-03-29,0.035573640770076284,0.0,0.0,0.0
2011-03-30,0.007837235710694435,0.0,0.0,0.0
2011-03-31,-0.0016007650845996087,0.0,0.0,0.0
2011-04-01,0.01188682195999653,0.0,0.0,0.0
2011-04-04,-0.02946370032593618,0.0,0.0,-0.009331440126197188
2011-04-05,0.028838635572298064,0.0,0.0,-0.013080645594838902
2011-04-06,-0.014146757894821005,0.0,0.0,-0.0005
2011-04-07,0.014275463716979048,0.0,0.0,0.0
2011-04-08,-0.018817892673090482,0.0,0.0,0.0
2011-04-11,-0.02305504742753226,0.0,-0.023165852317926172,0.0
2011-04-12,0.0056941421369474925,0.0,-0.0005,0.0
2011-04-13,-0.006487886226841212,0.0,0.0,0.0
2011-04-14,0.015797789520676824,0.0,0.0020325419441242225,0.0
2011-04-15,-0.023894110671437655,0.0,-0.015270172445099983,0.0
2011-04-18,0.02515194736631854,0.0,0.010726239210312905,0.010198280994148046
2011-04-19,0.08845333055759845,0.0,0.042450187465807865,1.1118674048127275e-07
2011-04-20,0.07401923175027482,0.0,0.03043058427713774,0.000928540424203872
2011-04-21,-0.0001966706853041683,0.0,0.0,0.0
2011-04-22,0.0029169538053482333,0.0,-0.0026845511061411864,-0.0022265159719189187
2011-04-25,0.015590057965714015,0.0,0.008398532734977149,0.010784699100695683
2011-04-26,0.029414985828887366,0.00911058555221017,0.009610585552210171,-0.0012877035137652815
2011-04-27,0.023536083779223786,0.004124784082395472,0.004124784082395472,0.009578196625749325
2011-04-28,0.0068112214266305,-0.0006319449495663099,-0.0006319449495663099,-0.0012769455478115477
2011-04-29,0.028442293750238434,0.005375212051984102,0.005375212051984102,0.008037981632594837
2011-05-02,-0.024069540262894765,-0.007967530769182551,-0.007967530769182551,0.009242253860054506
2011-05-03,-0.013772478546148336,-0.00771376303881488,-0.00771376303881488,0.005386940722941436
2011-05-04,-0.0358350936809606,-0.013738294585667443,-0.013738294585667443,0.010359094905453947
2011-05-05,0.029576215094760962,0.019004213115456636,0.019004213115456636,-0.005833298055116565
2011-05-06,-0.0053510781169847,-0.010596621834471742,-0.010596621834471742,0.016891571773193448
2011-05-09,0.020385676939460664,0.010495961368167217,0.010495961368167217,-0.004371594682255453
2011-05-10,0.011322454027741444,0.007949541975535546,0.007949541975535546,-0.008254110776326096
2011-05-11,-0.03822539750657451,-0.019243025636103472,-0.019243025636103472,0.0113336566586002
2011-05-12,0.038458752074781985,0.014581234658510356,0.014581234658510356,0.005077886547012245
2011-05-13,-0.06062129443980872,-0.02758089626001181,-0.02758089626001181,0.0008710086645693504
2011-05-16,-0.0650621989199687,-0.03607901343746445,-0.03607901343746445,0.01305487469104838
2011-05-17,0.024078763564494673,0.013302507572126698,0.013302507572126698,-0.0015461787457808907
2011-05-18,0.020796430305799272,0.02603548832544278,0.02603548832544278,-0.02478081984502123
2011-05-19,0.009501184552999526,-0.00336182617921843,-0.00336182617921843,0.01941057739231966
